8,110,,9,220,,9,250.5,,10,318.82,,10,345
9,119.5,,10,227.65,,10,274,,12,340,,12,369
10,127,,12,240,,12,302,,14,360,,14,389
11,153,,14,276,,14,322,,16,376,,16,404.51
12,180,,16,297,,16,340,,18,391.61,,18,417.41
14,204.68,,18,312.94,,18,358,,20,403.22,,20,430
16,220,,20,328,,20,372.85,,24,418.7,,24,450.76
18,232,,24,343,,24,391.61,,28,432.3,,28,466.15
20,245,,28,360,,28,405.8,,32,446.15,,32,478.46
24,270,,32,378,,32,417.41,,36,460,,36,487.69
28,291,,36,390,,36,426.15,,0,0,,0,0
32,310,,40,400,,40,435.38,,0,0,,0,0
36,325,,50,427,,50,455.38,,0,0,,0,0
40,342,,60,450,,0,0,,0,0,,0,0
50,381,,0,0,,0,0,,0,0,,0,
60,414.83,,0,0,,0,0,,0,0,,0,0
70,433,,0,0,,0,0,,0,0,,0,0
