p=1,,,,,,,,P=2,,,,,,,,P=3,,,,,,P=4,,,,,,P=5,,,,,P=6,,,,
Z_Stator,Z_Rotor [0],Z_Rotor [1],Z_Rotor [2],Z_Rotor [3],Z_Rotor [4],Z_Rotor [5],,Z_Stator,Z_Rotor [0],Z_Rotor [1],Z_Rotor [2],Z_Rotor [3],Z_Rotor [4],Z_Rotor [5],,Z_Stator,Z_Rotor [0],Z_Rotor [1],Z_Rotor [2],Z_Rotor [3],,Z_Stator,Z_Rotor [0],Z_Rotor [1],Z_Rotor [2],Z_Rotor [3],,Z_Stator,Z_Rotor [0],Z_Rotor [1],Z_Rotor [2],,Z_Stator,Z_Rotor [0],Z_Rotor [1],Z_Rotor [2],Z_Rotor [3]
18,22,16,22,26,32,38,,24,32,26,34,34,50,62,,36,26,44,56,74,,48,34,58,66,78,,60,44,68,86,,72,56,68,86,124
24,0,32,38,28,34,40,,36,0,44,50,38,52,6,,54,42,64,58,76,,72,62,86,68,82,,90,46,72,88,,90,64,70,88,128
30,0,0,0,44,50,56,,42,0,46,52,56,68,80,,72,48,66,62,78,,84,64,88,70,110,,120,74,74,92,,108,80,74,92,136
36,0,0,0,46,52,58,,48,0,0,54,58,70,82,,90,0,68,82,80,,96,0,90,98,112,,0,76,76,94,,144,88,82,100,152
42,0,0,0,0,0,0,,60,0,0,0,62,74,86,,0,0,0,86,100,,0,0,0,100,114,,0,0,104,96,,0,0,98,116,160
48,0,0,0,0,0,0,,72,0,0,0,64,0,0,,0,0,0,88,102,,0,0,0,102,0,,0,0,106,98,,0,0,106,124,164
,,,,,,,,,,,,,,,,0,0,0,0,104,,0,0,0,104,0,,0,0,108,102,,0,0,110,128,166
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,110,104,,0,0,0,130,168
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,112,106,,0,0,0,132,170
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,114,134,,0,0,0,0,172
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,138,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,140,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,142,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,144,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,146,,,,,,
